Pos,Driver,Car,Time
1,Michael Schumacher MSC,Ferrari,1:35:36.792
2,Juan Pablo Montoya MOY,Williams BMW,+18.628s
3,Kimi Räikkönen RAI,McLaren Mercedes,+25.067s
4,Eddie Irvine IRV,Jaguar Cosworth,+1 lap
5,Mark Webber WEB,Minardi Asiatech,+2 laps
6,Mika Salo SAL,Toyota,+2 laps
7,Alex Yoong YOO,Minardi Asiatech,+3 laps
8,Pedro de la Rosa DLR,Jaguar Cosworth,+5 laps
NC,David Coulthard COU,McLaren Mercedes,DNF
NC,Jacques Villeneuve VIL,BAR Honda,DNF
NC,Takuma Sato SAT,Jordan Honda,DNF
NC,Jarno Trulli TRU,Renault,DNF
NC,Rubens Barrichello BAR,Ferrari,DNF
NC,Ralf Schumacher RSC,Williams BMW,DNF
NC,Giancarlo Fisichella FIS,Jordan Honda,DNF
NC,Felipe Massa MAS,Sauber Petronas,DNF
NC,Nick Heidfeld HEI,Sauber Petronas,DNF
NC,Jenson Button BUT,Renault,DNF
NC,Olivier Panis PAN,BAR Honda,DNF
NC,Allan McNish MCN,Toyota,DNF
1,Ralf Schumacher RSC,Williams BMW,1:34:12.912
2,Juan Pablo Montoya MOY,Williams BMW,+39.700s
3,Michael Schumacher MSC,Ferrari,+61.795s
4,Jenson Button BUT,Renault,+69.767s
5,Nick Heidfeld HEI,Sauber Petronas,+1 lap
6,Felipe Massa MAS,Sauber Petronas,+1 lap
7,Allan McNish MCN,Toyota,+1 lap
8,Jacques Villeneuve VIL,BAR Honda,+1 lap
9,Takuma Sato SAT,Jordan Honda,+2 laps
10,Pedro de la Rosa DLR,Jaguar Cosworth,+2 laps
11,Heinz-Harald Frentzen FRE,Arrows Cosworth,+2 laps
12,Mika Salo SAL,Toyota,+3 laps
13,Giancarlo Fisichella FIS,Jordan Honda,+3 laps
NC,Rubens Barrichello BAR,Ferrari,DNF
NC,Mark Webber WEB,Minardi Asiatech,DNF
NC,Eddie Irvine IRV,Jaguar Cosworth,DNF
NC,Alex Yoong YOO,Minardi Asiatech,DNF
NC,Kimi Räikkönen RAI,McLaren Mercedes,DNF
NC,Enrique Bernoldi BER,Arrows Cosworth,DNF
NC,David Coulthard COU,McLaren Mercedes,DNF
NC,Olivier Panis PAN,BAR Honda,DNF
NC,Jarno Trulli TRU,Renault,DNF
1,Michael Schumacher MSC,Ferrari,1:31:43.663
2,Ralf Schumacher RSC,Williams BMW,+0.588s
3,David Coulthard COU,McLaren Mercedes,+59.109s
4,Jenson Button BUT,Renault,+66.883s
5,Juan Pablo Montoya MOY,Williams BMW,+67.563s
6,Mika Salo SAL,Toyota,+1 lap
7,Eddie Irvine IRV,Jaguar Cosworth,+1 lap
8,Pedro de la Rosa DLR,Jaguar Cosworth,+1 lap
9,Takuma Sato SAT,Jordan Honda,+2 laps
10,Jacques Villeneuve VIL,BAR Honda,DNF
11,Mark Webber WEB,Minardi Asiatech,+3 laps
12,Kimi Räikkönen RAI,McLaren Mercedes,DNF
13,Alex Yoong YOO,Minardi Asiatech,+4 laps
NC,Nick Heidfeld HEI,Sauber Petronas,DNF
NC,Jarno Trulli TRU,Renault,DNF
NC,Felipe Massa MAS,Sauber Petronas,DNF
NC,Allan McNish MCN,Toyota,DNF
NC,Olivier Panis PAN,BAR Honda,DNF
NC,Heinz-Harald Frentzen FRE,Arrows Cosworth,DNF
NC,Enrique Bernoldi BER,Arrows Cosworth,DNF
NC,Rubens Barrichello BAR,Ferrari,DNF
NC,Giancarlo Fisichella FIS,Jordan Honda,DNF
1,Michael Schumacher MSC,Ferrari,1:29:10.789
2,Rubens Barrichello BAR,Ferrari,+17.907s
3,Ralf Schumacher RSC,Williams BMW,+19.755s
4,Juan Pablo Montoya MOY,Williams BMW,+44.725s
5,Jenson Button BUT,Renault,+83.395s
6,David Coulthard COU,McLaren Mercedes,+1 lap
7,Jacques Villeneuve VIL,BAR Honda,+1 lap
8,Felipe Massa MAS,Sauber Petronas,+1 lap
9,Jarno Trulli TRU,Renault,+1 lap
10,Nick Heidfeld HEI,Sauber Petronas,+1 lap
11,Mark Webber WEB,Minardi Asiatech,+2 laps
NC,Enrique Bernoldi BER,Arrows Cosworth,DNF
NC,Eddie Irvine IRV,Jaguar Cosworth,DNF
NC,Kimi Räikkönen RAI,McLaren Mercedes,DNF
NC,Olivier Panis PAN,BAR Honda,DNF
NC,Pedro de la Rosa DLR,Jaguar Cosworth,DNF
NC,Mika Salo SAL,Toyota,DNF
NC,Heinz-Harald Frentzen FRE,Arrows Cosworth,DNF
NC,Giancarlo Fisichella FIS,Jordan Honda,DNF
NC,Takuma Sato SAT,Jordan Honda,DNF
NC,Allan McNish MCN,Toyota,DNF
1,Michael Schumacher MSC,Ferrari,1:30:29.981
2,Juan Pablo Montoya MOY,Williams BMW,+35.630s
3,David Coulthard COU,McLaren Mercedes,+42.623s
4,Nick Heidfeld HEI,Sauber Petronas,+66.697s
5,Felipe Massa MAS,Sauber Petronas,+78.973s
6,Heinz-Harald Frentzen FRE,Arrows Cosworth,+80.430s
7,Jacques Villeneuve VIL,BAR Honda,+1 lap
8,Allan McNish MCN,Toyota,+1 lap
9,Mika Salo SAL,Toyota,+1 lap
10,Jarno Trulli TRU,Renault,DNF
11,Ralf Schumacher RSC,Williams BMW,DNF
12,Jenson Button BUT,Renault,DNF
NC,Olivier Panis PAN,BAR Honda,DNF
NC,Eddie Irvine IRV,Jaguar Cosworth,DNF
NC,Enrique Bernoldi BER,Arrows Cosworth,DNF
NC,Takuma Sato SAT,Jordan Honda,DNF
NC,Giancarlo Fisichella FIS,Jordan Honda,DNF
NC,Kimi Räikkönen RAI,McLaren Mercedes,DNF
NC,Pedro de la Rosa DLR,Jaguar Cosworth,DNF
NC,Rubens Barrichello BAR,Ferrari,DNF
1,Michael Schumacher MSC,Ferrari,1:33:51.562
2,Rubens Barrichello BAR,Ferrari,+0.182s
3,Juan Pablo Montoya MOY,Williams BMW,+17.730s
4,Ralf Schumacher RSC,Williams BMW,+18.448s
5,Giancarlo Fisichella FIS,Jordan Honda,+49.965s
6,David Coulthard COU,McLaren Mercedes,+50.672s
7,Jenson Button BUT,Renault,+51.229s
8,Mika Salo SAL,Toyota,+69.425s
9,Allan McNish MCN,Toyota,+69.718s
10,Jacques Villeneuve VIL,BAR Honda,DNF
11,Heinz-Harald Frentzen FRE,Arrows Cosworth,+2 laps
12,Mark Webber WEB,Minardi Asiatech,+2 laps
NC,Jarno Trulli TRU,Renault,DNF
NC,Alex Yoong YOO,Minardi Asiatech,DNF
NC,Eddie Irvine IRV,Jaguar Cosworth,DNF
NC,Nick Heidfeld HEI,Sauber Petronas,DNF
NC,Takuma Sato SAT,Jordan Honda,DNF
NC,Olivier Panis PAN,BAR Honda,DNF
NC,Felipe Massa MAS,Sauber Petronas,DNF
NC,Kimi Räikkönen RAI,McLaren Mercedes,DNF
NC,Enrique Bernoldi BER,Arrows Cosworth,DNF
NC,Pedro de la Rosa DLR,Jaguar Cosworth,DNF
1,David Coulthard COU,McLaren Mercedes,1:45:39.055
2,Michael Schumacher MSC,Ferrari,+1.050s
3,Ralf Schumacher RSC,Williams BMW,+77.450s
4,Jarno Trulli TRU,Renault,+1 lap
5,Giancarlo Fisichella FIS,Jordan Honda,+1 lap
6,Heinz-Harald Frentzen FRE,Arrows Cosworth,+1 lap
7,Rubens Barrichello BAR,Ferrari,+1 lap
8,Nick Heidfeld HEI,Sauber Petronas,+2 laps
9,Eddie Irvine IRV,Jaguar Cosworth,+2 laps
10,Pedro de la Rosa DLR,Jaguar Cosworth,+2 laps
11,Mark Webber WEB,Minardi Asiatech,+2 laps
12,Enrique Bernoldi BER,Arrows Cosworth,+2 laps
NC,Mika Salo SAL,Toyota,DNF
NC,Felipe Massa MAS,Sauber Petronas,DNF
NC,Olivier Panis PAN,BAR Honda,DNF
NC,Jenson Button BUT,Renault,DNF
NC,Juan Pablo Montoya MOY,Williams BMW,DNF
NC,Jacques Villeneuve VIL,BAR Honda,DNF
NC,Kimi Räikkönen RAI,McLaren Mercedes,DNF
NC,Alex Yoong YOO,Minardi Asiatech,DNF
NC,Takuma Sato SAT,Jordan Honda,DNF
NC,Allan McNish MCN,Toyota,DNF
1,Michael Schumacher MSC,Ferrari,1:33:36.111
2,David Coulthard COU,McLaren Mercedes,+1.132s
3,Rubens Barrichello BAR,Ferrari,+7.082s
4,Kimi Räikkönen RAI,McLaren Mercedes,+37.563s
5,Giancarlo Fisichella FIS,Jordan Honda,+42.812s
6,Jarno Trulli TRU,Renault,+48.947s
7,Ralf Schumacher RSC,Williams BMW,+51.518s
8,Olivier Panis PAN,BAR Honda,+1 lap
9,Felipe Massa MAS,Sauber Petronas,+1 lap
10,Takuma Sato SAT,Jordan Honda,+1 lap
11,Mark Webber WEB,Minardi Asiatech,+1 lap
12,Nick Heidfeld HEI,Sauber Petronas,+1 lap
13,Heinz-Harald Frentzen FRE,Arrows Cosworth,+1 lap
14,Alex Yoong YOO,Minardi Asiatech,+2 laps
15,Jenson Button BUT,Renault,DNF
NC,Juan Pablo Montoya MOY,Williams BMW,DNF
NC,Allan McNish MCN,Toyota,DNF
NC,Eddie Irvine IRV,Jaguar Cosworth,DNF
NC,Mika Salo SAL,Toyota,DNF
NC,Pedro de la Rosa DLR,Jaguar Cosworth,DNF
NC,Enrique Bernoldi BER,Arrows Cosworth,DNF
NC,Jacques Villeneuve VIL,BAR Honda,DNF
1,Rubens Barrichello BAR,Ferrari,1:35:07.426
2,Michael Schumacher MSC,Ferrari,+0.294s
3,Kimi Räikkönen RAI,McLaren Mercedes,+46.435s
4,Ralf Schumacher RSC,Williams BMW,+66.963s
5,Jenson Button BUT,Renault,+76.943s
6,Felipe Massa MAS,Sauber Petronas,+1 lap
7,Nick Heidfeld HEI,Sauber Petronas,+1 lap
8,Jarno Trulli TRU,Renault,+1 lap
9,Olivier Panis PAN,BAR Honda,+1 lap
10,Enrique Bernoldi BER,Arrows Cosworth,+1 lap
11,Pedro de la Rosa DLR,Jaguar Cosworth,+1 lap
12,Jacques Villeneuve VIL,BAR Honda,+1 lap
13,Heinz-Harald Frentzen FRE,Arrows Cosworth,+1 lap
14,Allan McNish MCN,Toyota,+1 lap
15,Mark Webber WEB,Minardi Asiatech,+2 laps
16,Takuma Sato SAT,Jordan Honda,+2 laps
NC,Mika Salo SAL,Toyota,DNF
NC,Alex Yoong YOO,Minardi Asiatech,DNF
NC,Eddie Irvine IRV,Jaguar Cosworth,DNF
NC,Juan Pablo Montoya MOY,Williams BMW,DNF
NC,David Coulthard COU,McLaren Mercedes,DNF
NC,Giancarlo Fisichella FIS,Jordan Honda,DNF
1,Michael Schumacher MSC,Ferrari,1:31:45.015
2,Rubens Barrichello BAR,Ferrari,+14.578s
3,Juan Pablo Montoya MOY,Williams BMW,+31.661s
