Pos,Driver,Car,Time
1,Lewis Hamilton HAM,Mercedes,1:26.327
2,Nico Rosberg ROS,Mercedes,1:26.921
3,Felipe Massa MAS,Williams Mercedes,1:27.718
4,Sebastian Vettel VET,Ferrari,1:27.757
5,Kimi Räikkönen RAI,Ferrari,1:27.790
6,Valtteri Bottas BOT,Williams Mercedes,1:28.087
7,Daniel Ricciardo RIC,Red Bull Racing Renault,1:28.329
8,Carlos Sainz SAI,STR Renault,1:28.510
9,Romain Grosjean GRO,Lotus Mercedes,1:28.560
10,Pastor Maldonado MAL,Lotus Mercedes,1:29.480
11,Felipe Nasr NAS,Sauber Ferrari,
12,Max Verstappen VER,STR Renault,
13,Daniil Kvyat KVY,Red Bull Racing Renault,
14,Nico Hulkenberg HUL,Force India Mercedes,
15,Sergio Perez PER,Force India Mercedes,
16,Marcus Ericsson ERI,Sauber Ferrari,
17,Jenson Button BUT,McLaren Honda,
18,Kevin Magnussen MAG,McLaren Honda,
1,Lewis Hamilton HAM,Mercedes,1:49.834
2,Sebastian Vettel VET,Ferrari,1:49.908
3,Nico Rosberg ROS,Mercedes,1:50.299
4,Daniel Ricciardo RIC,Red Bull Racing Renault,1:51.541
5,Daniil Kvyat KVY,Red Bull Racing Renault,1:51.951
6,Max Verstappen VER,STR Renault,1:51.981
7,Felipe Massa MAS,Williams Mercedes,1:52.473
8,Romain Grosjean GRO,Lotus Mercedes,1:52.981
9,Valtteri Bottas BOT,Williams Mercedes,1:53.179
10,Marcus Ericsson ERI,Sauber Ferrari,1:53.261
11,Kimi Räikkönen RAI,Ferrari,
12,Pastor Maldonado MAL,Lotus Mercedes,
13,Nico Hulkenberg HUL,Force India Mercedes,
14,Sergio Perez PER,Force India Mercedes,
15,Carlos Sainz SAI,STR Renault,
16,Felipe Nasr NAS,Sauber Ferrari,
17,Jenson Button BUT,McLaren Honda,
18,Fernando Alonso ALO,McLaren Honda,
NC,Roberto Merhi MER,Marussia Ferrari,
1,Lewis Hamilton HAM,Mercedes,1:35.782
2,Nico Rosberg ROS,Mercedes,1:35.824
3,Sebastian Vettel VET,Ferrari,1:36.687
4,Felipe Massa MAS,Williams Mercedes,1:36.954
5,Valtteri Bottas BOT,Williams Mercedes,1:37.143
6,Kimi Räikkönen RAI,Ferrari,1:37.232
7,Daniel Ricciardo RIC,Red Bull Racing Renault,1:37.540
8,Romain Grosjean GRO,Lotus Mercedes,1:37.905
9,Felipe Nasr NAS,Sauber Ferrari,1:38.067
10,Marcus Ericsson ERI,Sauber Ferrari,1:38.158
11,Pastor Maldonado MAL,Lotus Mercedes,
12,Daniil Kvyat KVY,Red Bull Racing Renault,
13,Max Verstappen VER,STR Renault,
14,Carlos Sainz SAI,STR Renault,
15,Sergio Perez PER,Force India Mercedes,
16,Nico Hulkenberg HUL,Force India Mercedes,
17,Jenson Button BUT,McLaren Honda,
18,Fernando Alonso ALO,McLaren Honda,
19,Will Stevens STE,Marussia Ferrari,
20,Roberto Merhi MER,Marussia Ferrari,
1,Lewis Hamilton HAM,Mercedes,1:32.571
2,Sebastian Vettel VET,Ferrari,1:32.982
3,Nico Rosberg ROS,Mercedes,1:33.129
4,Kimi Räikkönen RAI,Ferrari,1:33.227
5,Valtteri Bottas BOT,Williams Mercedes,1:33.381
6,Felipe Massa MAS,Williams Mercedes,1:33.744
7,Daniel Ricciardo RIC,Red Bull Racing Renault,1:33.832
8,Nico Hulkenberg HUL,Force India Mercedes,1:34.450
9,Carlos Sainz SAI,STR Renault,1:34.462
10,Romain Grosjean GRO,Lotus Mercedes,1:34.484
11,Sergio Perez PER,Force India Mercedes,
12,Felipe Nasr NAS,Sauber Ferrari,
13,Marcus Ericsson ERI,Sauber Ferrari,
14,Fernando Alonso ALO,McLaren Honda,
15,Max Verstappen VER,STR Renault,
16,Pastor Maldonado MAL,Lotus Mercedes,
17,Daniil Kvyat KVY,Red Bull Racing Renault,
18,Will Stevens STE,Marussia Ferrari,
19,Roberto Merhi MER,Marussia Ferrari,
NC,Jenson Button BUT,McLaren Honda,
1,Nico Rosberg ROS,Mercedes,1:24.681
2,Lewis Hamilton HAM,Mercedes,1:24.948
3,Sebastian Vettel VET,Ferrari,1:25.458
4,Valtteri Bottas BOT,Williams Mercedes,1:25.694
5,Carlos Sainz SAI,STR Renault,1:26.136
6,Max Verstappen VER,STR Renault,1:26.249
7,Kimi Räikkönen RAI,Ferrari,1:26.414
8,Daniil Kvyat KVY,Red Bull Racing Renault,1:26.629
9,Felipe Massa MAS,Williams Mercedes,1:26.757
10,Daniel Ricciardo RIC,Red Bull Racing Renault,1:26.770
11,Romain Grosjean GRO,Lotus Mercedes,
12,Pastor Maldonado MAL,Lotus Mercedes,
13,Fernando Alonso ALO,McLaren Honda,
14,Jenson Button BUT,McLaren Honda,
15,Felipe Nasr NAS,Sauber Ferrari,
16,Marcus Ericsson ERI,Sauber Ferrari,
17,Nico Hulkenberg HUL,Force India Mercedes,
18,Sergio Perez PER,Force India Mercedes,
19,Will Stevens STE,Marussia Ferrari,
20,Roberto Merhi MER,Marussia Ferrari,
1,Lewis Hamilton HAM,Mercedes,1:15.098
2,Nico Rosberg ROS,Mercedes,1:15.440
3,Sebastian Vettel VET,Ferrari,1:15.849
4,Daniel Ricciardo RIC,Red Bull Racing Renault,1:16.041
5,Daniil Kvyat KVY,Red Bull Racing Renault,1:16.182
6,Kimi Räikkönen RAI,Ferrari,1:16.427
7,Sergio Perez PER,Force India Mercedes,1:16.808
8,Carlos Sainz SAI,STR Renault,1:16.931
9,Pastor Maldonado MAL,Lotus Mercedes,1:16.946
10,Max Verstappen VER,STR Renault,1:16.957
11,Romain Grosjean GRO,Lotus Mercedes,
12,Jenson Button BUT,McLaren Honda,
13,Nico Hulkenberg HUL,Force India Mercedes,
14,Felipe Massa MAS,Williams Mercedes,
15,Fernando Alonso ALO,McLaren Honda,
16,Felipe Nasr NAS,Sauber Ferrari,
17,Valtteri Bottas BOT,Williams Mercedes,
18,Marcus Ericsson ERI,Sauber Ferrari,
19,Will Stevens STE,Marussia Ferrari,
20,Roberto Merhi MER,Marussia Ferrari,
1,Lewis Hamilton HAM,Mercedes,1:14.393
2,Nico Rosberg ROS,Mercedes,1:14.702
3,Kimi Räikkönen RAI,Ferrari,1:15.014
4,Valtteri Bottas BOT,Williams Mercedes,1:15.102
5,Romain Grosjean GRO,Lotus Mercedes,1:15.194
6,Pastor Maldonado MAL,Lotus Mercedes,1:15.329
7,Nico Hulkenberg HUL,Force India Mercedes,1:15.614
8,Daniil Kvyat KVY,Red Bull Racing Renault,1:16.079
9,Daniel Ricciardo RIC,Red Bull Racing Renault,1:16.114
10,Sergio Perez PER,Force India Mercedes,1:16.338
11,Carlos Sainz SAI,STR Renault,
12,Max Verstappen VER,STR Renault,
13,Marcus Ericsson ERI,Sauber Ferrari,
14,Fernando Alonso ALO,McLaren Honda,
15,Felipe Nasr NAS,Sauber Ferrari,
16,Sebastian Vettel VET,Ferrari,
17,Felipe Massa MAS,Williams Mercedes,
18,Roberto Merhi MER,Marussia Ferrari,
19,Will Stevens STE,Marussia Ferrari,
1,Lewis Hamilton HAM,Mercedes,1:08.455
2,Nico Rosberg ROS,Mercedes,1:08.655
3,Sebastian Vettel VET,Ferrari,1:08.810
4,Felipe Massa MAS,Williams Mercedes,1:09.192
5,Nico Hulkenberg HUL,Force India Mercedes,1:09.278
6,Valtteri Bottas BOT,Williams Mercedes,1:09.319
7,Max Verstappen VER,STR Renault,1:09.612
8,Daniil Kvyat KVY,Red Bull Racing Renault,1:09.694
9,Felipe Nasr NAS,Sauber Ferrari,1:09.713
10,Romain Grosjean GRO,Lotus Mercedes,DNS
11,Pastor Maldonado MAL,Lotus Mercedes,
12,Marcus Ericsson ERI,Sauber Ferrari,
13,Carlos Sainz SAI,STR Renault,
14,Daniel Ricciardo RIC,Red Bull Racing Renault,
15,Fernando Alonso ALO,McLaren Honda,
16,Sergio Perez PER,Force India Mercedes,
17,Jenson Button BUT,McLaren Honda,
18,Kimi Räikkönen RAI,Ferrari,
19,Roberto Merhi MER,Marussia Ferrari,
20,Will Stevens STE,Marussia Ferrari,
1,Lewis Hamilton HAM,Mercedes,1:32.248
2,Nico Rosberg ROS,Mercedes,1:32.361
3,Felipe Massa MAS,Williams Mercedes,1:33.085
4,Valtteri Bottas BOT,Williams Mercedes,1:33.149
5,Kimi Räikkönen RAI,Ferrari,1:33.379
6,Sebastian Vettel VET,Ferrari,1:33.547
7,Daniil Kvyat KVY,Red Bull Racing Renault,1:33.636
8,Carlos Sainz SAI,STR Renault,1:33.649
9,Nico Hulkenberg HUL,Force India Mercedes,1:33.673
10,Daniel Ricciardo RIC,Red Bull Racing Renault,1:33.943
11,Sergio Perez PER,Force India Mercedes,
12,Romain Grosjean GRO,Lotus Mercedes,
13,Max Verstappen VER,STR Renault,
14,Pastor Maldonado MAL,Lotus Mercedes,
15,Marcus Ericsson ERI,Sauber Ferrari,
16,Felipe Nasr NAS,Sauber Ferrari,
17,Fernando Alonso ALO,McLaren Honda,
18,Jenson Button BUT,McLaren Honda,
19,Will Stevens STE,Marussia Ferrari,
20,Roberto Merhi MER,Marussia Ferrari,
1,Lewis Hamilton HAM,Mercedes,1:22.020
2,Nico Rosberg ROS,Mercedes,1:22.595
3,Sebastian Vettel VET,Ferrari,1:22.739
4,Daniel Ricciardo RIC,Red Bull Racing Renault,1:22.774
5,Kimi Räikkönen RAI,Ferrari,1:23.020
6,Valtteri Bottas BOT,Williams Mercedes,1:23.222
7,Daniil Kvyat KVY,Red Bull Racing Renault,1:23.332
8,Felipe Massa MAS,Williams Mercedes,1:23.537
9,Max Verstappen VER,STR Renault,1:23.679
10,Romain Grosjean GRO,Lotus Mercedes,1:24.181
11,Nico Hulkenberg HUL,Force India Mercedes,
12,Carlos Sainz SAI,STR Renault,
13,Sergio Perez PER,Force India Mercedes,
14,Pastor Maldonado MAL,Lotus Mercedes,
15,Fernando Alonso ALO,McLaren Honda,
16,Jenson Button BUT,McLaren Honda,
17,Marcus Ericsson ERI,Sauber Ferrari,
18,Felipe Nasr NAS,Sauber Ferrari,
19,Roberto Merhi MER,Marussia Ferrari,
20,Will Stevens STE,Marussia Ferrari,
1,Lewis Hamilton HAM,Mercedes,1:47.197
2,Nico Rosberg ROS,Mercedes,1:47.655
3,Valtteri Bottas BOT,Williams Mercedes,1:48.537
4,Romain Grosjean GRO,Lotus Mercedes,1:48.561
5,Sergio Perez PER,Force India Mercedes,1:48.599
6,Daniel Ricciardo RIC,Red Bull Racing Renault,1:48.639
7,Felipe Massa MAS,Williams Mercedes,1:48.685
8,Pastor Maldonado MAL,Lotus Mercedes,1:48.754
9,Sebastian Vettel VET,Ferrari,1:48.825
10,Carlos Sainz SAI,STR Renault,1:49.771
11,Nico Hulkenberg HUL,Force India Mercedes,
12,Daniil Kvyat KVY,Red Bull Racing Renault,
13,Marcus Ericsson ERI,Sauber Ferrari,
14,Kimi Räikkönen RAI,Ferrari,
15,Max Verstappen VER,STR Renault,
16,Felipe Nasr NAS,Sauber Ferrari,
17,Jenson Button BUT,McLaren Honda,
18,Fernando Alonso ALO,McLaren Honda,
19,Will Stevens STE,Marussia Ferrari,
20,Roberto Merhi MER,Marussia Ferrari,
1,Lewis Hamilton HAM,Mercedes,1:23.397
2,Kimi Räikkönen RAI,Ferrari,1:23.631
3,Sebastian Vettel VET,Ferrari,1:23.685
4,Nico Rosberg ROS,Mercedes,1:23.703
5,Felipe Massa MAS,Williams Mercedes,1:23.940
6,Valtteri Bottas BOT,Williams Mercedes,1:24.127
7,Sergio Perez PER,Force India Mercedes,1:24.626
8,Romain Grosjean GRO,Lotus Mercedes,1:25.054
9,Nico Hulkenberg HUL,Force India Mercedes,1:25.317
10,Marcus Ericsson ERI,Sauber Ferrari,1:26.214
11,Pastor Maldonado MAL,Lotus Mercedes,
12,Felipe Nasr NAS,Sauber Ferrari,
13,Carlos Sainz SAI,STR Renault,
14,Daniil Kvyat KVY,Red Bull Racing Renault,
15,Daniel Ricciardo RIC,Red Bull Racing Renault,
16,Jenson Button BUT,McLaren Honda,
17,Fernando Alonso ALO,McLaren Honda,
18,Will Stevens STE,Marussia Ferrari,
19,Roberto Merhi MER,Marussia Ferrari,
NC,Max Verstappen VER,STR Renault,
1,Sebastian Vettel VET,Ferrari,1:43.885
2,Daniel Ricciardo RIC,Red Bull Racing Renault,1:44.428
3,Kimi Räikkönen RAI,Ferrari,1:44.667
4,Daniil Kvyat KVY,Red Bull Racing Renault,1:44.745
5,Lewis Hamilton HAM,Mercedes,1:45.300
6,Nico Rosberg ROS,Mercedes,1:45.415
7,Valtteri Bottas BOT,Williams Mercedes,1:45.676
8,Max Verstappen VER,STR Renault,1:45.798
9,Felipe Massa MAS,Williams Mercedes,1:46.077
10,Romain Grosjean GRO,Lotus Mercedes,1:46.413
11,Nico Hulkenberg HUL,Force India Mercedes,
