Pos,Driver,Car,Time
12,Fernando Alonso ALO,McLaren Honda,
13,Sergio Perez PER,Force India Mercedes,
14,Carlos Sainz SAI,STR Renault,
15,Jenson Button BUT,McLaren Honda,
16,Felipe Nasr NAS,Sauber Ferrari,
17,Marcus Ericsson ERI,Sauber Ferrari,
18,Pastor Maldonado MAL,Lotus Mercedes,
19,Will Stevens STE,Marussia Ferrari,
20,Alexander Rossi RSI,Marussia Ferrari,
1,Nico Rosberg ROS,Mercedes,1:32.584
2,Lewis Hamilton HAM,Mercedes,1:32.660
3,Valtteri Bottas BOT,Williams Mercedes,1:33.024
4,Sebastian Vettel VET,Ferrari,1:33.245
5,Felipe Massa MAS,Williams Mercedes,1:33.337
6,Kimi Räikkönen RAI,Ferrari,1:33.347
7,Daniel Ricciardo RIC,Red Bull Racing Renault,1:33.497
8,Romain Grosjean GRO,Lotus Mercedes,1:33.967
9,Sergio Perez PER,Force India Mercedes,DNF
10,Daniil Kvyat KVY,Red Bull Racing Renault,DNF
11,Nico Hulkenberg HUL,Force India Mercedes,
12,Carlos Sainz SAI,STR Renault,
13,Pastor Maldonado MAL,Lotus Mercedes,
14,Fernando Alonso ALO,McLaren Honda,
15,Max Verstappen VER,STR Renault,
16,Jenson Button BUT,McLaren Honda,
17,Marcus Ericsson ERI,Sauber Ferrari,
18,Felipe Nasr NAS,Sauber Ferrari,
19,Will Stevens STE,Marussia Ferrari,
NC,Alexander Rossi RSI,Marussia Ferrari,
1,Nico Rosberg ROS,Mercedes,1:37.113
2,Lewis Hamilton HAM,Mercedes,1:37.433
3,Valtteri Bottas BOT,Williams Mercedes,1:37.912
4,Sebastian Vettel VET,Ferrari,1:37.965
5,Kimi Räikkönen RAI,Ferrari,1:38.348
6,Nico Hulkenberg HUL,Force India Mercedes,1:38.659
7,Sergio Perez PER,Force India Mercedes,1:38.691
8,Romain Grosjean GRO,Lotus Mercedes,1:38.787
9,Max Verstappen VER,STR Renault,1:38.924
10,Daniel Ricciardo RIC,Red Bull Racing Renault,1:39.728
11,Daniil Kvyat KVY,Red Bull Racing Renault,
12,Felipe Nasr NAS,Sauber Ferrari,
13,Jenson Button BUT,McLaren Honda,
14,Pastor Maldonado MAL,Lotus Mercedes,
15,Felipe Massa MAS,Williams Mercedes,
16,Fernando Alonso ALO,McLaren Honda,
17,Marcus Ericsson ERI,Sauber Ferrari,
18,Will Stevens STE,Marussia Ferrari,
19,Roberto Merhi MER,Marussia Ferrari,
1,Nico Rosberg ROS,Mercedes,
2,Lewis Hamilton HAM,Mercedes,
3,Daniel Ricciardo RIC,Red Bull Racing Renault,
4,Daniil Kvyat KVY,Red Bull Racing Renault,
5,Sebastian Vettel VET,Ferrari,
6,Sergio Perez PER,Force India Mercedes,
7,Nico Hulkenberg HUL,Force India Mercedes,
8,Kimi Räikkönen RAI,Ferrari,
9,Felipe Massa MAS,Williams Mercedes,
10,Max Verstappen VER,STR Renault,
11,Fernando Alonso ALO,McLaren Honda,
12,Valtteri Bottas BOT,Williams Mercedes,
13,Romain Grosjean GRO,Lotus Mercedes,
14,Jenson Button BUT,McLaren Honda,
15,Pastor Maldonado MAL,Lotus Mercedes,
16,Marcus Ericsson ERI,Sauber Ferrari,
17,Felipe Nasr NAS,Sauber Ferrari,
18,Alexander Rossi RSI,Marussia Ferrari,
19,Will Stevens STE,Marussia Ferrari,
NC,Carlos Sainz SAI,STR Renault,
1,Nico Rosberg ROS,Mercedes,1:19.480
2,Lewis Hamilton HAM,Mercedes,1:19.668
3,Sebastian Vettel VET,Ferrari,1:19.850
4,Daniil Kvyat KVY,Red Bull Racing Renault,1:20.398
5,Daniel Ricciardo RIC,Red Bull Racing Renault,1:20.399
6,Valtteri Bottas BOT,Williams Mercedes,1:20.448
7,Felipe Massa MAS,Williams Mercedes,1:20.567
8,Max Verstappen VER,STR Renault,1:20.710
9,Sergio Perez PER,Force India Mercedes,1:20.716
10,Nico Hulkenberg HUL,Force India Mercedes,1:20.788
11,Carlos Sainz SAI,STR Renault,
12,Romain Grosjean GRO,Lotus Mercedes,
13,Pastor Maldonado MAL,Lotus Mercedes,
14,Marcus Ericsson ERI,Sauber Ferrari,
15,Kimi Räikkönen RAI,Ferrari,
16,Fernando Alonso ALO,McLaren Honda,
17,Felipe Nasr NAS,Sauber Ferrari,
18,Alexander Rossi RSI,Marussia Ferrari,
19,Will Stevens STE,Marussia Ferrari,
1,Nico Rosberg ROS,Mercedes,1:11.282
2,Lewis Hamilton HAM,Mercedes,1:11.360
3,Sebastian Vettel VET,Ferrari,1:11.804
4,Valtteri Bottas BOT,Williams Mercedes,1:12.085
5,Kimi Räikkönen RAI,Ferrari,1:12.144
6,Nico Hulkenberg HUL,Force India Mercedes,1:12.265
7,Daniil Kvyat KVY,Red Bull Racing Renault,1:12.322
8,Felipe Massa MAS,Williams Mercedes,1:12.415
9,Daniel Ricciardo RIC,Red Bull Racing Renault,1:12.417
10,Max Verstappen VER,STR Renault,1:12.739
11,Felipe Nasr NAS,Sauber Ferrari,
12,Carlos Sainz SAI,STR Renault,
13,Sergio Perez PER,Force India Mercedes,
14,Marcus Ericsson ERI,Sauber Ferrari,
15,Romain Grosjean GRO,Lotus Mercedes,
16,Pastor Maldonado MAL,Lotus Mercedes,
17,Jenson Button BUT,McLaren Honda,
18,Alexander Rossi RSI,Marussia Ferrari,
19,Will Stevens STE,Marussia Ferrari,
NC,Fernando Alonso ALO,McLaren Honda,
1,Nico Rosberg ROS,Mercedes,1:40.237
2,Lewis Hamilton HAM,Mercedes,1:40.614
3,Kimi Räikkönen RAI,Ferrari,1:41.051
4,Sergio Perez PER,Force India Mercedes,1:41.184
5,Daniel Ricciardo RIC,Red Bull Racing Renault,1:41.444
6,Valtteri Bottas BOT,Williams Mercedes,1:41.656
7,Nico Hulkenberg HUL,Force India Mercedes,1:41.686
8,Felipe Massa MAS,Williams Mercedes,1:41.759
9,Daniil Kvyat KVY,Red Bull Racing Renault,1:41.933
10,Carlos Sainz SAI,STR Renault,1:42.708
11,Max Verstappen VER,STR Renault,
12,Jenson Button BUT,McLaren Honda,
13,Pastor Maldonado MAL,Lotus Mercedes,
14,Felipe Nasr NAS,Sauber Ferrari,
15,Romain Grosjean GRO,Lotus Mercedes,
16,Sebastian Vettel VET,Ferrari,
17,Fernando Alonso ALO,McLaren Honda,
18,Marcus Ericsson ERI,Sauber Ferrari,
19,Will Stevens STE,Marussia Ferrari,
20,Roberto Merhi MER,Marussia Ferrari,
