Pos,Driver,Car,Time
1,Rubens Barrichello BAR,Ferrari,25.843
2,Michael Schumacher MSC,Ferrari,25.848
3,Ralf Schumacher RSC,Williams BMW,26.279
4,David Coulthard COU,McLaren Mercedes,26.446
5,Kimi Räikkönen RAI,McLaren Mercedes,27.161
6,Juan Pablo Montoya MOY,Williams BMW,27.249
7,Jarno Trulli TRU,Renault,27.710
8,Giancarlo Fisichella FIS,Jordan Honda,27.869
9,Felipe Massa MAS,Sauber Petronas,27.972
10,Nick Heidfeld HEI,Sauber Petronas,28.232
11,Jenson Button BUT,Renault,28.361
12,Olivier Panis PAN,BAR Honda,28.381
13,Jacques Villeneuve VIL,BAR Honda,28.657
14,Mika Salo SAL,Toyota,29.205
15,Heinz-Harald Frentzen FRE,Arrows Cosworth,29.474
16,Allan McNish MCN,Toyota,29.636
17,Enrique Bernoldi BER,Arrows Cosworth,29.738
18,Mark Webber WEB,Minardi Asiatech,30.086
19,Eddie Irvine IRV,Jaguar Cosworth,30.113
20,Pedro de la Rosa DLR,Jaguar Cosworth,30.192
21,Alex Yoong YOO,Minardi Asiatech,31.504
NC,Takuma Sato SAT,Jordan Honda,53.351
1,Michael Schumacher MSC,Ferrari,35.266
2,Juan Pablo Montoya MOY,Williams BMW,35.497
3,Rubens Barrichello BAR,Ferrari,35.891
4,Ralf Schumacher RSC,Williams BMW,36.028
5,Kimi Räikkönen RAI,McLaren Mercedes,36.468
6,David Coulthard COU,McLaren Mercedes,36.477
7,Nick Heidfeld HEI,Sauber Petronas,37.199
8,Jenson Button BUT,Renault,37.245
9,Giancarlo Fisichella FIS,Jordan Honda,37.536
10,Mika Salo SAL,Toyota,37.694
11,Heinz-Harald Frentzen FRE,Arrows Cosworth,37.919
12,Jarno Trulli TRU,Renault,37.920
13,Jacques Villeneuve VIL,BAR Honda,38.039
14,Felipe Massa MAS,Sauber Petronas,38.057
15,Takuma Sato SAT,Jordan Honda,38.141
16,Enrique Bernoldi BER,Arrows Cosworth,38.284
17,Pedro de la Rosa DLR,Jaguar Cosworth,38.374
18,Olivier Panis PAN,BAR Honda,38.390
19,Allan McNish MCN,Toyota,38.959
20,Eddie Irvine IRV,Jaguar Cosworth,39.121
21,Mark Webber WEB,Minardi Asiatech,39.454
22,Alex Yoong YOO,Minardi Asiatech,40.158
1,Juan Pablo Montoya MOY,Williams BMW,13.114
2,Michael Schumacher MSC,Ferrari,13.241
3,Ralf Schumacher RSC,Williams BMW,13.328
4,David Coulthard COU,McLaren Mercedes,13.565
5,Kimi Räikkönen RAI,McLaren Mercedes,13.595
6,Jarno Trulli TRU,Renault,13.611
7,Jenson Button BUT,Renault,13.665
8,Rubens Barrichello BAR,Ferrari,13.935
9,Nick Heidfeld HEI,Sauber Petronas,14.233
10,Mika Salo SAL,Toyota,14.443
11,Pedro de la Rosa DLR,Jaguar Cosworth,14.464
12,Felipe Massa MAS,Sauber Petronas,14.533
13,Eddie Irvine IRV,Jaguar Cosworth,14.537
14,Giancarlo Fisichella FIS,Jordan Honda,14.748
15,Jacques Villeneuve VIL,BAR Honda,14.760
16,Allan McNish MCN,Toyota,14.990
17,Olivier Panis PAN,BAR Honda,14.996
18,Heinz-Harald Frentzen FRE,Arrows Cosworth,15.112
19,Takuma Sato SAT,Jordan Honda,15.296
20,Mark Webber WEB,Minardi Asiatech,15.340
21,Enrique Bernoldi BER,Arrows Cosworth,15.355
22,Alex Yoong YOO,Minardi Asiatech,16.728
1,Michael Schumacher MSC,Ferrari,21.091
2,Rubens Barrichello BAR,Ferrari,21.155
3,Ralf Schumacher RSC,Williams BMW,21.473
4,Juan Pablo Montoya MOY,Williams BMW,21.605
5,Kimi Räikkönen RAI,McLaren Mercedes,22.104
6,David Coulthard COU,McLaren Mercedes,22.490
7,Nick Heidfeld HEI,Sauber Petronas,22.767
8,Jarno Trulli TRU,Renault,22.833
9,Jenson Button BUT,Renault,22.857
10,Jacques Villeneuve VIL,BAR Honda,23.116
