Pos,Driver,Car,Time
1,Lewis Hamilton HAM,Mercedes,1:31:54.067
2,Nico Rosberg ROS,Mercedes,+1.360s
3,Sebastian Vettel VET,Ferrari,+34.523s
4,Felipe Massa MAS,Williams Mercedes,+38.196s
5,Felipe Nasr NAS,Sauber Ferrari,+95.149s
6,Daniel Ricciardo RIC,Red Bull Racing Renault,+1 lap
7,Nico Hulkenberg HUL,Force India Mercedes,+1 lap
8,Marcus Ericsson ERI,Sauber Ferrari,+1 lap
9,Carlos Sainz SAI,STR Renault,+1 lap
10,Sergio Perez PER,Force India Mercedes,+1 lap
11,Jenson Button BUT,McLaren Honda,+2 laps
NC,Kimi Räikkönen RAI,Ferrari,DNF
NC,Max Verstappen VER,STR Renault,DNF
NC,Romain Grosjean GRO,Lotus Mercedes,DNF
NC,Pastor Maldonado MAL,Lotus Mercedes,DNF
NC,Daniil Kvyat KVY,Red Bull Racing Renault,DNS
NC,Kevin Magnussen MAG,McLaren Honda,DNS
1,Sebastian Vettel VET,Ferrari,1:41:05.793
2,Lewis Hamilton HAM,Mercedes,+8.569s
3,Nico Rosberg ROS,Mercedes,+12.310s
4,Kimi Räikkönen RAI,Ferrari,+53.822s
5,Valtteri Bottas BOT,Williams Mercedes,+70.409s
6,Felipe Massa MAS,Williams Mercedes,+73.586s
7,Max Verstappen VER,STR Renault,+97.762s
8,Carlos Sainz SAI,STR Renault,+1 lap
9,Daniil Kvyat KVY,Red Bull Racing Renault,+1 lap
10,Daniel Ricciardo RIC,Red Bull Racing Renault,+1 lap
11,Romain Grosjean GRO,Lotus Mercedes,+1 lap
12,Felipe Nasr NAS,Sauber Ferrari,+1 lap
13,Sergio Perez PER,Force India Mercedes,+1 lap
14,Nico Hulkenberg HUL,Force India Mercedes,+1 lap
15,Roberto Merhi MER,Marussia Ferrari,+3 laps
NC,Pastor Maldonado MAL,Lotus Mercedes,DNF
NC,Jenson Button BUT,McLaren Honda,DNF
NC,Fernando Alonso ALO,McLaren Honda,DNF
NC,Marcus Ericsson ERI,Sauber Ferrari,DNF
1,Lewis Hamilton HAM,Mercedes,1:39:42.008
2,Nico Rosberg ROS,Mercedes,+0.714s
3,Sebastian Vettel VET,Ferrari,+2.988s
4,Kimi Räikkönen RAI,Ferrari,+3.835s
5,Felipe Massa MAS,Williams Mercedes,+8.544s
6,Valtteri Bottas BOT,Williams Mercedes,+9.885s
7,Romain Grosjean GRO,Lotus Mercedes,+19.008s
8,Felipe Nasr NAS,Sauber Ferrari,+22.625s
9,Daniel Ricciardo RIC,Red Bull Racing Renault,+32.117s
10,Marcus Ericsson ERI,Sauber Ferrari,+1 lap
11,Sergio Perez PER,Force India Mercedes,+1 lap
12,Fernando Alonso ALO,McLaren Honda,+1 lap
13,Carlos Sainz SAI,STR Renault,+1 lap
14,Jenson Button BUT,McLaren Honda,+1 lap
15,Will Stevens STE,Marussia Ferrari,+2 laps
16,Roberto Merhi MER,Marussia Ferrari,+2 laps
17,Max Verstappen VER,STR Renault,DNF
NC,Pastor Maldonado MAL,Lotus Mercedes,DNF
NC,Daniil Kvyat KVY,Red Bull Racing Renault,DNF
NC,Nico Hulkenberg HUL,Force India Mercedes,DNF
1,Lewis Hamilton HAM,Mercedes,1:35:05.809
2,Kimi Räikkönen RAI,Ferrari,+3.380s
3,Nico Rosberg ROS,Mercedes,+6.033s
4,Valtteri Bottas BOT,Williams Mercedes,+42.957s
5,Sebastian Vettel VET,Ferrari,+43.989s
6,Daniel Ricciardo RIC,Red Bull Racing Renault,+61.751s
7,Romain Grosjean GRO,Lotus Mercedes,+84.763s
8,Sergio Perez PER,Force India Mercedes,+1 lap
