Pos,Driver,Car,Time
9,Daniil Kvyat KVY,Red Bull Racing Renault,+1 lap
10,Felipe Massa MAS,Williams Mercedes,+1 lap
11,Fernando Alonso ALO,McLaren Honda,+1 lap
12,Felipe Nasr NAS,Sauber Ferrari,+1 lap
13,Nico Hulkenberg HUL,Force India Mercedes,+1 lap
14,Marcus Ericsson ERI,Sauber Ferrari,+1 lap
15,Pastor Maldonado MAL,Lotus Mercedes,+1 lap
16,Will Stevens STE,Marussia Ferrari,+2 laps
17,Roberto Merhi MER,Marussia Ferrari,+3 laps
NC,Max Verstappen VER,STR Renault,DNF
NC,Carlos Sainz SAI,STR Renault,DNF
NC,Jenson Button BUT,McLaren Honda,DNS
1,Nico Rosberg ROS,Mercedes,1:41:12.555
2,Lewis Hamilton HAM,Mercedes,+17.551s
3,Sebastian Vettel VET,Ferrari,+45.342s
4,Valtteri Bottas BOT,Williams Mercedes,+59.217s
5,Kimi Räikkönen RAI,Ferrari,+60.002s
6,Felipe Massa MAS,Williams Mercedes,+81.314s
7,Daniel Ricciardo RIC,Red Bull Racing Renault,+1 lap
8,Romain Grosjean GRO,Lotus Mercedes,+1 lap
9,Carlos Sainz SAI,STR Renault,+1 lap
10,Daniil Kvyat KVY,Red Bull Racing Renault,+1 lap
11,Max Verstappen VER,STR Renault,+1 lap
12,Felipe Nasr NAS,Sauber Ferrari,+1 lap
13,Sergio Perez PER,Force India Mercedes,+1 lap
14,Marcus Ericsson ERI,Sauber Ferrari,+1 lap
15,Nico Hulkenberg HUL,Force India Mercedes,+1 lap
16,Jenson Button BUT,McLaren Honda,+1 lap
17,Will Stevens STE,Marussia Ferrari,+3 laps
18,Roberto Merhi MER,Marussia Ferrari,+4 laps
NC,Pastor Maldonado MAL,Lotus Mercedes,DNF
NC,Fernando Alonso ALO,McLaren Honda,DNF
1,Nico Rosberg ROS,Mercedes,1:49:18.420
2,Sebastian Vettel VET,Ferrari,+4.486s
3,Lewis Hamilton HAM,Mercedes,+6.053s
4,Daniil Kvyat KVY,Red Bull Racing Renault,+11.965s
5,Daniel Ricciardo RIC,Red Bull Racing Renault,+13.608s
6,Kimi Räikkönen RAI,Ferrari,+14.345s
7,Sergio Perez PER,Force India Mercedes,+15.013s
8,Jenson Button BUT,McLaren Honda,+16.063s
9,Felipe Nasr NAS,Sauber Ferrari,+23.626s
10,Carlos Sainz SAI,STR Renault,+25.056s
11,Nico Hulkenberg HUL,Force India Mercedes,+26.232s
12,Romain Grosjean GRO,Lotus Mercedes,+28.415s
13,Marcus Ericsson ERI,Sauber Ferrari,+31.159s
14,Valtteri Bottas BOT,Williams Mercedes,+45.789s
15,Felipe Massa MAS,Williams Mercedes,+1 lap
16,Roberto Merhi MER,Marussia Ferrari,+2 laps
17,Will Stevens STE,Marussia Ferrari,+2 laps
NC,Max Verstappen VER,STR Renault,DNF
NC,Fernando Alonso ALO,McLaren Honda,DNF
NC,Pastor Maldonado MAL,Lotus Mercedes,DNF
1,Lewis Hamilton HAM,Mercedes,1:31:53.145
2,Nico Rosberg ROS,Mercedes,+2.285s
3,Valtteri Bottas BOT,Williams Mercedes,+40.666s
4,Kimi Räikkönen RAI,Ferrari,+45.625s
5,Sebastian Vettel VET,Ferrari,+49.903s
6,Felipe Massa MAS,Williams Mercedes,+56.381s
7,Pastor Maldonado MAL,Lotus Mercedes,+66.664s
8,Nico Hulkenberg HUL,Force India Mercedes,+1 lap
9,Daniil Kvyat KVY,Red Bull Racing Renault,+1 lap
10,Romain Grosjean GRO,Lotus Mercedes,+1 lap
11,Sergio Perez PER,Force India Mercedes,+1 lap
12,Carlos Sainz SAI,STR Renault,+1 lap
13,Daniel Ricciardo RIC,Red Bull Racing Renault,+1 lap
14,Marcus Ericsson ERI,Sauber Ferrari,+1 lap
15,Max Verstappen VER,STR Renault,+1 lap
16,Felipe Nasr NAS,Sauber Ferrari,+2 laps
17,Will Stevens STE,Marussia Ferrari,+4 laps
NC,Roberto Merhi MER,Marussia Ferrari,DNF
NC,Jenson Button BUT,McLaren Honda,DNF
NC,Fernando Alonso ALO,McLaren Honda,DNF
1,Nico Rosberg ROS,Mercedes,1:30:16.930
2,Lewis Hamilton HAM,Mercedes,+8.800s
3,Felipe Massa MAS,Williams Mercedes,+17.573s
4,Sebastian Vettel VET,Ferrari,+18.181s
5,Valtteri Bottas BOT,Williams Mercedes,+53.604s
6,Nico Hulkenberg HUL,Force India Mercedes,+64.075s
7,Pastor Maldonado MAL,Lotus Mercedes,+1 lap
8,Max Verstappen VER,STR Renault,+1 lap
9,Sergio Perez PER,Force India Mercedes,+1 lap
10,Daniel Ricciardo RIC,Red Bull Racing Renault,+1 lap
11,Felipe Nasr NAS,Sauber Ferrari,+1 lap
12,Daniil Kvyat KVY,Red Bull Racing Renault,+1 lap
13,Marcus Ericsson ERI,Sauber Ferrari,+2 laps
14,Roberto Merhi MER,Marussia Ferrari,+3 laps
NC,Romain Grosjean GRO,Lotus Mercedes,DNF
NC,Carlos Sainz SAI,STR Renault,DNF
NC,Jenson Button BUT,McLaren Honda,DNF
NC,Will Stevens STE,Marussia Ferrari,DNF
NC,Kimi Räikkönen RAI,Ferrari,DNF
NC,Fernando Alonso ALO,McLaren Honda,DNF
1,Lewis Hamilton HAM,Mercedes,1:31:27.729
2,Nico Rosberg ROS,Mercedes,+10.956s
3,Sebastian Vettel VET,Ferrari,+25.443s
4,Felipe Massa MAS,Williams Mercedes,+36.839s
5,Valtteri Bottas BOT,Williams Mercedes,+63.194s
6,Daniil Kvyat KVY,Red Bull Racing Renault,+63.955s
7,Nico Hulkenberg HUL,Force India Mercedes,+78.744s
8,Kimi Räikkönen RAI,Ferrari,+1 lap
9,Sergio Perez PER,Force India Mercedes,+1 lap
10,Fernando Alonso ALO,McLaren Honda,+1 lap
11,Marcus Ericsson ERI,Sauber Ferrari,+1 lap
12,Roberto Merhi MER,Marussia Ferrari,+3 laps
13,Will Stevens STE,Marussia Ferrari,+3 laps
NC,Carlos Sainz SAI,STR Renault,DNF
NC,Daniel Ricciardo RIC,Red Bull Racing Renault,DNF
NC,Max Verstappen VER,STR Renault,DNF
NC,Romain Grosjean GRO,Lotus Mercedes,DNF
NC,Pastor Maldonado MAL,Lotus Mercedes,DNF
NC,Jenson Button BUT,McLaren Honda,DNF
NC,Felipe Nasr NAS,Sauber Ferrari,DNS
1,Sebastian Vettel VET,Ferrari,1:46:09.985
2,Daniil Kvyat KVY,Red Bull Racing Renault,+15.748s
3,Daniel Ricciardo RIC,Red Bull Racing Renault,+25.084s
4,Max Verstappen VER,STR Renault,+44.251s
5,Fernando Alonso ALO,McLaren Honda,+49.079s
6,Lewis Hamilton HAM,Mercedes,+52.025s
7,Romain Grosjean GRO,Lotus Mercedes,+58.578s
8,Nico Rosberg ROS,Mercedes,+58.876s
9,Jenson Button BUT,McLaren Honda,+67.028s
10,Marcus Ericsson ERI,Sauber Ferrari,+69.130s
11,Felipe Nasr NAS,Sauber Ferrari,+73.458s
12,Felipe Massa MAS,Williams Mercedes,+74.278s
13,Valtteri Bottas BOT,Williams Mercedes,+80.228s
14,Pastor Maldonado MAL,Lotus Mercedes,+85.142s
15,Roberto Merhi MER,Marussia Ferrari,+2 laps
16,Will Stevens STE,Marussia Ferrari,DNF
NC,Carlos Sainz SAI,STR Renault,DNF
NC,Kimi Räikkönen RAI,Ferrari,DNF
NC,Sergio Perez PER,Force India Mercedes,DNF
NC,Nico Hulkenberg HUL,Force India Mercedes,DNF
1,Lewis Hamilton HAM,Mercedes,1:23:40.387
2,Nico Rosberg ROS,Mercedes,+2.058s
3,Romain Grosjean GRO,Lotus Mercedes,+37.988s
4,Daniil Kvyat KVY,Red Bull Racing Renault,+45.692s
5,Sergio Perez PER,Force India Mercedes,+53.997s
6,Felipe Massa MAS,Williams Mercedes,+55.283s
7,Kimi Räikkönen RAI,Ferrari,+55.703s
8,Max Verstappen VER,STR Renault,+56.076s
9,Valtteri Bottas BOT,Williams Mercedes,+61.040s
10,Marcus Ericsson ERI,Sauber Ferrari,+91.234s
11,Felipe Nasr NAS,Sauber Ferrari,+102.311s
12,Sebastian Vettel VET,Ferrari,DNF
13,Fernando Alonso ALO,McLaren Honda,+1 lap
14,Jenson Button BUT,McLaren Honda,+1 lap
15,Roberto Merhi MER,Marussia Ferrari,+1 lap
16,Will Stevens STE,Marussia Ferrari,+1 lap
NC,Carlos Sainz SAI,STR Renault,DNF
NC,Daniel Ricciardo RIC,Red Bull Racing Renault,DNF
NC,Pastor Maldonado MAL,Lotus Mercedes,DNF
NC,Nico Hulkenberg HUL,Force India Mercedes,DNS
1,Lewis Hamilton HAM,Mercedes,1:18:00.688
2,Sebastian Vettel VET,Ferrari,+25.042s
3,Felipe Massa MAS,Williams Mercedes,+47.635s
4,Valtteri Bottas BOT,Williams Mercedes,+47.996s
5,Kimi Räikkönen RAI,Ferrari,+68.860s
6,Sergio Perez PER,Force India Mercedes,+72.783s
7,Nico Hulkenberg HUL,Force India Mercedes,+1 lap
8,Daniel Ricciardo RIC,Red Bull Racing Renault,+1 lap
9,Marcus Ericsson ERI,Sauber Ferrari,+1 lap
10,Daniil Kvyat KVY,Red Bull Racing Renault,+1 lap
11,Carlos Sainz SAI,STR Renault,+1 lap
12,Max Verstappen VER,STR Renault,+1 lap
13,Felipe Nasr NAS,Sauber Ferrari,+1 lap
14,Jenson Button BUT,McLaren Honda,+1 lap
15,Will Stevens STE,Marussia Ferrari,+2 laps
16,Roberto Merhi MER,Marussia Ferrari,+2 laps
17,Nico Rosberg ROS,Mercedes,DNF
18,Fernando Alonso ALO,McLaren Honda,DNF
NC,Romain Grosjean GRO,Lotus Mercedes,DNF
NC,Pastor Maldonado MAL,Lotus Mercedes,DNF
1,Sebastian Vettel VET,Ferrari,2:01:22.118
2,Daniel Ricciardo RIC,Red Bull Racing Renault,+1.478s
3,Kimi Räikkönen RAI,Ferrari,+17.154s
4,Nico Rosberg ROS,Mercedes,+24.720s
5,Valtteri Bottas BOT,Williams Mercedes,+34.204s
6,Daniil Kvyat KVY,Red Bull Racing Renault,+35.508s
7,Sergio Perez PER,Force India Mercedes,+50.836s
8,Max Verstappen VER,STR Renault,+51.450s
9,Carlos Sainz SAI,STR Renault,+52.860s
10,Felipe Nasr NAS,Sauber Ferrari,+90.045s
11,Marcus Ericsson ERI,Sauber Ferrari,+97.507s
12,Pastor Maldonado MAL,Lotus Mercedes,+97.718s
13,Romain Grosjean GRO,Lotus Mercedes,DNF
14,Alexander Rossi RSI,Marussia Ferrari,+2 laps
15,Will Stevens STE,Marussia Ferrari,+2 laps
NC,Jenson Button BUT,McLaren Honda,DNF
NC,Fernando Alonso ALO,McLaren Honda,DNF
NC,Lewis Hamilton HAM,Mercedes,DNF
NC,Felipe Massa MAS,Williams Mercedes,DNF
NC,Nico Hulkenberg HUL,Force India Mercedes,DNF
1,Lewis Hamilton HAM,Mercedes,1:28:06.508
2,Nico Rosberg ROS,Mercedes,+18.964s
3,Sebastian Vettel VET,Ferrari,+20.850s
4,Kimi Räikkönen RAI,Ferrari,+33.768s
5,Valtteri Bottas BOT,Williams Mercedes,+36.746s
6,Nico Hulkenberg HUL,Force India Mercedes,+55.559s
7,Romain Grosjean GRO,Lotus Mercedes,+72.298s
8,Pastor Maldonado MAL,Lotus Mercedes,+73.575s
9,Max Verstappen VER,STR Renault,+95.315s
10,Carlos Sainz SAI,STR Renault,+1 lap
11,Fernando Alonso ALO,McLaren Honda,+1 lap
12,Sergio Perez PER,Force India Mercedes,+1 lap
13,Daniil Kvyat KVY,Red Bull Racing Renault,+1 lap
14,Marcus Ericsson ERI,Sauber Ferrari,+1 lap
15,Daniel Ricciardo RIC,Red Bull Racing Renault,+1 lap
16,Jenson Button BUT,McLaren Honda,+1 lap
17,Felipe Massa MAS,Williams Mercedes,+2 laps
18,Alexander Rossi RSI,Marussia Ferrari,+2 laps
19,Will Stevens STE,Marussia Ferrari,+3 laps
20,Felipe Nasr NAS,Sauber Ferrari,DNF
1,Lewis Hamilton HAM,Mercedes,1:37:11.024
2,Sebastian Vettel VET,Ferrari,+5.953s
3,Sergio Perez PER,Force India Mercedes,+28.918s
4,Felipe Massa MAS,Williams Mercedes,+38.831s
5,Daniil Kvyat KVY,Red Bull Racing Renault,+47.566s
6,Felipe Nasr NAS,Sauber Ferrari,+56.508s
7,Pastor Maldonado MAL,Lotus Mercedes,+61.088s
8,Kimi Räikkönen RAI,Ferrari,+72.358s
9,Jenson Button BUT,McLaren Honda,+79.467s
10,Max Verstappen VER,STR Renault,+88.424s
11,Fernando Alonso ALO,McLaren Honda,+91.210s
12,Valtteri Bottas BOT,Williams Mercedes,DNF
13,Roberto Merhi MER,Marussia Ferrari,+1 lap
14,Will Stevens STE,Marussia Ferrari,+2 laps
15,Daniel Ricciardo RIC,Red Bull Racing Renault,DNF
NC,Carlos Sainz SAI,STR Renault,DNF
NC,Romain Grosjean GRO,Lotus Mercedes,DNF
NC,Nico Rosberg ROS,Mercedes,DNF
NC,Nico Hulkenberg HUL,Force India Mercedes,DNF
NC,Marcus Ericsson ERI,Sauber Ferrari,DNF
1,Lewis Hamilton HAM,Mercedes,1:50:52.703
2,Nico Rosberg ROS,Mercedes,+2.850s
3,Sebastian Vettel VET,Ferrari,+3.381s
4,Max Verstappen VER,STR Renault,+22.359s
5,Sergio Perez PER,Force India Mercedes,+24.413s
6,Jenson Button BUT,McLaren Honda,+28.058s
7,Carlos Sainz SAI,STR Renault,+30.619s
8,Pastor Maldonado MAL,Lotus Mercedes,+32.273s
9,Felipe Nasr NAS,Sauber Ferrari,+40.257s
10,Daniel Ricciardo RIC,Red Bull Racing Renault,+53.371s
11,Fernando Alonso ALO,McLaren Honda,+54.816s
12,Alexander Rossi RSI,Marussia Ferrari,+75.277s
NC,Daniil Kvyat KVY,Red Bull Racing Renault,DNF
NC,Nico Hulkenberg HUL,Force India Mercedes,DNF
NC,Marcus Ericsson ERI,Sauber Ferrari,DNF
NC,Kimi Räikkönen RAI,Ferrari,DNF
NC,Felipe Massa MAS,Williams Mercedes,DNF
NC,Romain Grosjean GRO,Lotus Mercedes,DNF
NC,Valtteri Bottas BOT,Williams Mercedes,DNF
NC,Will Stevens STE,Marussia Ferrari,DNF
1,Nico Rosberg ROS,Mercedes,1:42:35.038
2,Lewis Hamilton HAM,Mercedes,+1.954s
3,Valtteri Bottas BOT,Williams Mercedes,+14.592s
4,Daniil Kvyat KVY,Red Bull Racing Renault,+16.572s
5,Daniel Ricciardo RIC,Red Bull Racing Renault,+19.682s
6,Felipe Massa MAS,Williams Mercedes,+21.493s
7,Nico Hulkenberg HUL,Force India Mercedes,+25.860s
8,Sergio Perez PER,Force India Mercedes,+34.343s
9,Max Verstappen VER,STR Renault,+35.229s
10,Romain Grosjean GRO,Lotus Mercedes,+37.934s
11,Pastor Maldonado MAL,Lotus Mercedes,+38.538s
12,Marcus Ericsson ERI,Sauber Ferrari,+40.180s
13,Carlos Sainz SAI,STR Renault,+48.772s
14,Jenson Button BUT,McLaren Honda,+49.214s
15,Alexander Rossi RSI,Marussia Ferrari,+2 laps
16,Will Stevens STE,Marussia Ferrari,+2 laps
NC,Felipe Nasr NAS,Sauber Ferrari,DNF
NC,Sebastian Vettel VET,Ferrari,DNF
NC,Kimi Räikkönen RAI,Ferrari,DNF
NC,Fernando Alonso ALO,McLaren Honda,DNF
1,Nico Rosberg ROS,Mercedes,1:31:09.090
2,Lewis Hamilton HAM,Mercedes,+7.756s
3,Sebastian Vettel VET,Ferrari,+14.244s
4,Kimi Räikkönen RAI,Ferrari,+47.543s
5,Valtteri Bottas BOT,Williams Mercedes,+1 lap
6,Nico Hulkenberg HUL,Force India Mercedes,+1 lap
7,Daniil Kvyat KVY,Red Bull Racing Renault,+1 lap
EX,Felipe Massa MAS,Williams Mercedes,+1 lap
8,Romain Grosjean GRO,Lotus Mercedes,+1 lap
9,Max Verstappen VER,STR Renault,+1 lap
10,Pastor Maldonado MAL,Lotus Mercedes,+1 lap
11,Daniel Ricciardo RIC,Red Bull Racing Renault,+1 lap
12,Sergio Perez PER,Force India Mercedes,+1 lap
13,Felipe Nasr NAS,Sauber Ferrari,+1 lap
14,Jenson Button BUT,McLaren Honda,+1 lap
15,Fernando Alonso ALO,McLaren Honda,+1 lap
16,Marcus Ericsson ERI,Sauber Ferrari,+2 laps
17,Will Stevens STE,Marussia Ferrari,+4 laps
18,Alexander Rossi RSI,Marussia Ferrari,+4 laps
NC,Carlos Sainz SAI,STR Renault,DNF
1,Nico Rosberg ROS,Mercedes,1:38:30.175
2,Lewis Hamilton HAM,Mercedes,+8.271s
3,Kimi Räikkönen RAI,Ferrari,+19.430s
4,Sebastian Vettel VET,Ferrari,+43.735s
5,Sergio Perez PER,Force India Mercedes,+63.952s
6,Daniel Ricciardo RIC,Red Bull Racing Renault,+65.010s
7,Nico Hulkenberg HUL,Force India Mercedes,+93.618s
8,Felipe Massa MAS,Williams Mercedes,+97.751s
9,Romain Grosjean GRO,Lotus Mercedes,+98.201s
10,Daniil Kvyat KVY,Red Bull Racing Renault,+102.371s
11,Carlos Sainz SAI,STR Renault,+103.525s
12,Jenson Button BUT,McLaren Honda,+1 lap
13,Valtteri Bottas BOT,Williams Mercedes,+1 lap
14,Marcus Ericsson ERI,Sauber Ferrari,+1 lap
15,Felipe Nasr NAS,Sauber Ferrari,+1 lap
16,Max Verstappen VER,STR Renault,+1 lap
17,Fernando Alonso ALO,McLaren Honda,+2 laps
18,Will Stevens STE,Marussia Ferrari,+2 laps
19,Roberto Merhi MER,Marussia Ferrari,+3 laps
NC,Pastor Maldonado MAL,Lotus Mercedes,DNF
